ID,Tên công việc,Tên công ty,Nơi làm việc,Mức lương,Ngày đăng tin,Ngày hết hạn,Link
35C58AD5,Chuyên viên kế toán doanh thu,CÔNG TY CỔ PHẦN THẾ GIỚI SỐ,Hồ Chí Minh,Lương: 10 Tr - 12 Tr VND,15-10-2025,14-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-ke-toan-doanh-thu.35C58AD5.html
35C5B5C0,Chuyên viên Quan hệ Khách hàng Cá nhân (Toàn quốc) (Mới),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Bình Dương Đà Nẵng,Lương: Cạnh tranh,15-10-2025,13-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quan-he-khach-hang-ca-nhan-toan-quoc.35C5B5C0.html
35C5B5BF,Chuyên viên cao cấp Quản lý và Phát triển khách hàng (FX Sale) (Mới),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Lương: Cạnh tranh,15-10-2025,13-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-quan-ly-va-phat-trien-khach-hang-fx-sale.35C5B5BF.html
35C5B5BB,Tuyển Dụng Trưởng Kho (Mới),Orioled Hub,Bà Rịa - Vũng Tàu,Lương: Cạnh tranh,15-10-2025,09-11-2025,https://careerviet.vn/vi/tim-viec-lam/tuyen-dung-truong-kho.35C5B5BB.html
35C5B5BE,Chuyên viên cao cấp Kinh doanh Hedging và Phái sinh (Mới),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Lương: Cạnh tranh,15-10-2025,13-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-kinh-doanh-hedging-va-phai-sinh.35C5B5BE.html
35C5B5BD,Chuyên viên Kiểm soát Kế toán Thuế (Mới),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Lương: Cạnh tranh,15-10-2025,13-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-kiem-soat-ke-toan-thue.35C5B5BD.html
35C5B560,Area Retail Sales Manager (Mới),Knauf Việt Nam,Hồ Chí Minh Hà Nội,Lương: Cạnh tranh,15-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/area-retail-sales-manager.35C5B560.html
35C5B59A,Chuyên viên Truyền thông Nội bộ (Mới),GTEL ICT,Hà Nội,Lương: 10 Tr - 20 Tr VND,15-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-truyen-thong-noi-bo.35C5B59A.html
35C5B5B9,DevOps Engineer (Mới),Công Ty CP Dược Phẩm Pharmacity,Hồ Chí Minh,Lương: Cạnh tranh,15-10-2025,14-11-2025,https://careerviet.vn/vi/tim-viec-lam/devops-engineer.35C5B5B9.html
35C5B5B4,Nhân viên mua hàng Công trình Nội thất (Mới),CÔNG TY CỔ PHẦN XÂY DỰNG VÀ THƯƠNG MẠI HQS,Hồ Chí Minh,Lương: 12 Tr - 15 Tr VND,15-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-mua-hang-cong-trinh-noi-that.35C5B5B4.html
