Tên công việc,Tên công ty,Nơi làm việc,Mức lương,Ngày đăng tin,Ngày hết hạn,Link
Giáo Viên Tiếng Anh Full-Time(Mới),CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ HCTECH,Bình Dương Hồ Chí Minh,Lương: 8 Tr - 12 Tr VND,01-10-2025,30-10-2025,https://careerviet.vn/vi/tim-viec-lam/giao-vien-tieng-anh-full-time.35C59839.html
Ecommerce Team Leader(Mới),Công ty TNHH Thiên Thủy Mộc,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/ecommerce-team-leader.35C59A5F.html
CAM PROGRAMMING ENGINEER(Mới),CÔNG TY TNHH CARBORI MOLDS VIỆT NAM,Đồng Nai,Lương: Cạnh Tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/cam-programming-engineer.35C59A5E.html
Trưởng Bộ phận Quản lý hiệu suất(Mới),BVBank - Ngân hàng Bản Việt,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/truong-bo-phan-quan-ly-hieu-suat.35C59A5D.html
HO - Chuyên viên/Nhân viên Tư vấn chăm sóc khách hàng Thẻ(Mới),Ngân Hàng TMCP Phương Đông - OCB,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/ho-chuyen-vien-nhan-vien-tu-van-cham-soc-khach-hang-the.35C59A5C.html
QC STAFF(Mới),DAEYOUNG ELECTRONICS VINA,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/qc-staff.35C59A59.html
Nhân viên thủ kho(Mới),CÔNG TY CP CỬA SUNSPACE,Hưng Yên,Lương: 8 Tr - 11 Tr VND,01-10-2025,30-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-thu-kho.35C59A54.html
Nhân Viên Kỹ Thuật Hóa – Mảng Xử Lý Nước(Mới),CÔNG TY TNHH KỸ THUẬT CÔNG NGHỆ MÔI TRƯỜNG LONG TRƯỜNG VŨ,Hồ Chí Minh,Lương: 9 Tr - 12 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ky-thuat-hoa-mang-xu-ly-nuoc.35C599FC.html
123716 - Tiếng Nhật - Nhân viên Hành chính & Kế toán(Mới),"RGF HR Agent Vietnam Co., LTD",Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,4,https://careerviet.vn/vi/tim-viec-lam/123716-tieng-nhat-nhan-vien-hanh-chinh-ke-toan.35C59A4D.html
Công nhân Premix(Mới),De Heus - chi nhánh Nghệ An,Nghệ An,"Lương: 6,6 Tr - 7,2 Tr VND",01-10-2025,15-10-2025,https://careerviet.vn/vi/tim-viec-lam/cong-nhan-premix.35C59A4F.html
Nhân Viên Kỹ Thuật Điện(Mới),CÔNG TY TNHH KỸ THUẬT CÔNG NGHỆ MÔI TRƯỜNG LONG TRƯỜNG VŨ,Hồ Chí Minh Đà Nẵng Hà Nội,Lương: 9 Tr - 12 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ky-thuat-dien.35C59A10.html
Chuyên Viên Hỗ Trợ Công Nghệ Thông Tin(Mới),Ngân hàng TMCP Thịnh vượng và Phát triển - PGBank,Hà Nội,Lương: Cạnh Tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-ho-tro-cong-nghe-thong-tin.35C59A4E.html
HRIS Officer(Mới),De Heus LLC,Hồ Chí Minh,Lương: 10 Tr - 13 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/hris-officer.35C59A47.html
Test Engineer(Mới),TECOTEC Technology,Hà Nội,Lương: 8 Tr - 15 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/test-engineer.35C59A49.html
Nhân Viên Kinh Doanh (Mảng Công Nghiệp B2B)(Mới),CÔNG TY TNHH KỸ THUẬT CÔNG NGHỆ MÔI TRƯỜNG LONG TRƯỜNG VŨ,Hồ Chí Minh Đà Nẵng Hà Nội,Lương: 9 Tr - 15 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-mang-cong-nghiep-b2b.35C59A15.html
Chuyên viên Quản lý Dự án(Mới),BVBank - Ngân hàng Bản Việt,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quan-ly-du-an.35C59A45.html
Furniture QC Inspector (HCM) - P.IN(Mới),TÜV Rheinland Vietnam,Singapore,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/furniture-qc-inspector-hcm-p-in.35C59A48.html
Nhân Viên Vận Hành TMĐT(Mới),Công Ty Cổ phần Tập Đoàn KIDO,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-van-hanh-tmdt.35C59A46.html
Trưởng phòng Quản lý thiết kế(Mới),CÔNG TY CỔ PHẦN VĨNH QUANG,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-quan-ly-thiet-ke.35C598EA.html
Quản lý Ca Nhà hàng McDonald's(Mới),Công Ty Cổ Phần Good Day Hospitality (McDonald's Vietnam),Hồ Chí Minh Bà Rịa - Vũng Tàu,Lương: 9 Tr - 14 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/quan-ly-ca-nha-hang-mcdonald-s.35C59A43.html
Trưởng Phòng Kho (Nhà máy Dầu - Vinh)(Mới),Công Ty Cổ phần Tập Đoàn KIDO,Nghệ An,Lương: Cạnh Tranh,01-10-2025,10-11-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-kho-nha-may-dau-vinh.35C59A44.html
Chăm Sóc Khách Hàng App Vận Chuyển-Nhận Việc Ngay(Mới),Công Ty TNHH Việt Mỹ-SSU,Hồ Chí Minh,"Lương: 6 Tr - 8,3 Tr VND",01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/cham-soc-khach-hang-app-van-chuyen-nhan-viec-ngay.35C59A41.html
Giám Đốc Kinh Doanh(Mới),CÔNG TY CỔ PHẦN ĐẦU TƯ ĐÔNG BẮC LAND,Hà Nội,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/giam-doc-kinh-doanh.35C59630.html
Trưởng Phòng Hành Chính Nhân Sự (Mới),"Công ty TNHH Sản xuất, lắp ráp Tuấn Nghĩa",Hà Nội,Lương: 23 Tr - 27 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-hanh-chinh-nhan-su.35C59A3F.html
Trưởng Phòng Hành Chính Nhân Sự (Mới),"Công ty TNHH Sản xuất, lắp ráp Tuấn Nghĩa",Hà Nội,Lương: 23 Tr - 27 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-hanh-chinh-nhan-su.35C59A3F.html
Nhân viên sự kiện (Mới),CÔNG TY CỔ PHẦN TẬP ĐOÀN ONSEN FUJI,Phú Thọ,Lương: 8 Tr - 12 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-su-kien.35C59A3D.html
Trưởng Phòng Kỹ Thuật (Nhà máy Dầu - Vinh) (Mới),Công Ty Cổ phần Tập Đoàn KIDO,Nghệ An,Lương: Cạnh tranh,01-10-2025,11-11-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-ky-thuat-nha-may-dau-vinh.35C59A3C.html
QUẢN LÝ KINH DOANH ETC (Mới),CÔNG TY TNHH DƯỢC PHẨM ĐẠI PHÚ AN,Hồ Chí Minh,Lương: 10 Tr - 30 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/quan-ly-kinh-doanh-etc.35C59A22.html
Chuyên viên Event (Mới),Công Ty Cổ Phần Tập Đoàn Sunshine,Hồ Chí Minh,Lương: 15 Tr - 25 Tr VND,01-10-2025,20-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-event.35C59A35.html
Kế Toán Trưởng Tiếng Trung 会计长,CÔNG TY TNHH BSI FREIGHT VIỆT NAM,Hồ Chí Minh,Lương: 30 Tr - 45 Tr VND,01-10-2025,15-10-2025,https://careerviet.vn/vi/tim-viec-lam/ke-toan-truong-tieng-trung.35C576EE.html
Nhân viên chăm sóc khách hàng Kênh Call - Dự án Shopee (Mới),Công Ty TNHH Việt Mỹ-SSU,Hồ Chí Minh,"Lương: 6,8 Tr - 8 Tr VND",01-10-2025,30-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-cham-soc-khach-hang-kenh-call-du-an-shopee.35C599A2.html
Nhân viên chăm sóc khách hàng kênh chat - Dự án Shopee (Mới),Công Ty TNHH Việt Mỹ-SSU,Hồ Chí Minh,"Lương: 6,7 Tr - 7,8 Tr VND",01-10-2025,30-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-cham-soc-khach-hang-kenh-chat-du-an-shopee.35C599B9.html
Nhân viên Xử Lý Khiếu Nại (Dispute) – Dự án Shopee (Mới),Công Ty TNHH Việt Mỹ-SSU,Hồ Chí Minh,Lương: 7 Tr - 9 Tr VND,01-10-2025,13-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-xu-ly-khieu-nai-dispute-du-an-shopee.35C59972.html
Nhân Viên Chăm Sóc Khách Hàng Kênh Chat Với Tài Xế - Dự án Shopee (Mới),Công Ty TNHH Việt Mỹ-SSU,Hồ Chí Minh,"Lương: 8,5 Tr - 9,3 Tr VND",01-10-2025,09-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-cham-soc-khach-hang-kenh-chat-voi-tai-xe-du-an-shopee.35C599CB.html
Nhân viên chăm sóc khách hàng Ví điện tử MoMo (Mới),Công Ty TNHH Việt Mỹ-SSU,Hồ Chí Minh,"Lương: 6,5 Tr - 8,5 Tr VND",01-10-2025,14-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-cham-soc-khach-hang-vi-dien-tu-momo.35C599F5.html
Nhân Viên Admin Finance - Full Time (Mới),Công Ty TNHH Việt Mỹ-SSU,Hồ Chí Minh,"Lương: 7,8 Tr - 8 Tr VND",01-10-2025,15-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-admin-finance-full-time.35C59A1A.html
Nhân Viên Hỗ Trợ Đối Tác Nhà Hàng - Shopeefood (Content) (Mới),Công Ty TNHH Việt Mỹ-SSU,Hồ Chí Minh,Lương: 6 Tr - 8 Tr VND,01-10-2025,09-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ho-tro-doi-tac-nha-hang-shopeefood-content.35C59A30.html
Đại diện bán hàng (Mới),Công ty CP Toshiko Việt Nam,Nghệ An,Lương: 15 Tr - 25 Tr VND,01-10-2025,12-10-2025,https://careerviet.vn/vi/tim-viec-lam/dai-dien-ban-hang.35C59A39.html
[Hà Nội] Nhân Viên Lễ Tân Phòng Khám (Mới),Công ty cổ phần HaMo Holdings,Hà Nội,Lương: 8 Tr - 9 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/ha-noi-nhan-vien-le-tan-phong-kham.35C59A36.html
Kỹ Sư Giám Sát Dự Án (Mới),Công Ty Cổ Phần NICON,Hồ Chí Minh Bình Dương Long An,Lương: Cạnh tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/ky-su-giam-sat-du-an.35C59A34.html
Giám Đốc Kinh Doanh (Mới),Công Ty CP Sản Xuất Bao Bì Công Nghiệp Toàn Cầu,Đồng Nai,Lương: Cạnh tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/giam-doc-kinh-doanh.35C59A20.html
Chỉ Huy Công Trường (Mới),Công Ty Cổ Phần NICON,Hồ Chí Minh Đồng Nai Long An,Lương: Cạnh tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chi-huy-cong-truong.35C59985.html
Chuyên Viên Quản Lý Dự Án CNTT (Mới),SCI Group,Hà Nội,Lương: 18 Tr - 22 Tr VND,01-10-2025,02-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quan-ly-du-an-cntt.35C59A33.html
Nhân viên vận hành máy ép viên (Mới),Deheus Vĩnh Phúc,Vĩnh Phúc,"Lương: 9 Tr - 9,5 Tr VND",01-10-2025,15-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-van-hanh-may-ep-vien.35C59A31.html
General Accountant/ Finance Executive(Mới),NIRVANA MEMORIAL PARK - CÔNG TY TNHH CÔNG VIÊN TƯỞNG NIỆM NIẾT BÀN,Hồ Chí Minh,Lương: 16 Tr - 21 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/general-accountant-finance-executive.35C57F21.html
TỔ TRƯỞNG AN TOÀN SEA(Mới),Công ty TNHH Giày Apache Việt Nam,Tiền Giang,Lương: Cạnh Tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/to-truong-an-toan-sea.35C599A6.html
Structural Engineer(Mới),CÔNG TY TNHH JRL ENGINEERING VIỆT NAM,Hồ Chí Minh,Lương: 10 Tr - 35 Tr VND,01-10-2025,10-11-2025,https://careerviet.vn/vi/tim-viec-lam/structural-engineer.35C58C7D.html
Chuyên viên PR Marketing(Mới),Công Ty Cổ Phần Tập Đoàn Sunshine,Hồ Chí Minh,Lương: 20 Tr - 30 Tr VND,01-10-2025,20-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-pr-marketing.35C59A2F.html
Kỹ Sư Bán Hàng (Sales Engineer)(Mới),CÔNG TY TNHH THIẾT BỊ HUY HÙNG,Hồ Chí Minh,Lương: 10 Tr - 20 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/ky-su-ban-hang-sales-engineer.35C59A26.html
Chuyên viên quay dựng phim(Mới),Công ty Cổ phần Tập đoàn Gỗ Minh Long,Hà Nội,Lương: 15 Tr - 25 Tr VND,01-10-2025,09-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quay-dung-phim.35C59A2E.html
Nhân viên PE- Pattern Engineer(Mới),TKG Taekwang Vina,Đồng Nai,Lương: 10 Tr - 17 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-pe-pattern-engineer.35C59A2D.html
Chuyên viên quản lý chất lượng QA/QC - Contact center - Ngành Thương mại điện tử(Mới),CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,Hồ Chí Minh,Lương: 11 Tr - 13 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quan-ly-chat-luong-qa-qc-contact-center-nganh-thuong-mai-dien-tu.35C59A28.html
Trưởng nhóm kinh doanh(Mới),Công ty CP Toshiko Việt Nam,Hà Nội,Lương: 15 Tr - 30 Tr VND,01-10-2025,19-10-2025,https://careerviet.vn/vi/tim-viec-lam/truong-nhom-kinh-doanh.35C59A2A.html
Quản Lý Công Nghệ Đúc Kim Loại (Vàng/ Bạc)(Mới),Headhunter HRchannels Group,Hà Nam Hà Nội Nam Định,"Lương: 2,500 - 3,500 USD",01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/quan-ly-cong-nghe-duc-kim-loai-vang-bac.35C59A2B.html
Hà Đông - Nhân viên tư vấn bán hàng(Mới),Công ty CP Toshiko Việt Nam,Hà Nội,Lương: 13 Tr - 20 Tr VND,01-10-2025,26-10-2025,https://careerviet.vn/vi/tim-viec-lam/ha-dong-nhan-vien-tu-van-ban-hang.35C59A27.html
Chuyên Viên Hỗ Trợ Khách Hàng Và Quản Lý Rủi Ro Gian Lận _ Ngành Thương Mại Điện Tử(Mới),CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,Hồ Chí Minh,Lương: 11 Tr - 13 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-ho-tro-khach-hang-va-quan-ly-rui-ro-gian-lan-_-nganh-thuong-mai-dien-tu.35C59A25.html
Chuyên viên thiết kế nội thất(Mới),Công ty Cổ phần Tập đoàn Gỗ Minh Long,Hà Nội,Lương: 15 Tr - 25 Tr VND,01-10-2025,09-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-thiet-ke-noi-that.35C4D852.html
Nhân Viên Vận Hành và Bảo Trì(Mới),Orioled Hub,Bà Rịa - Vũng Tàu,Lương: 13 Tr - 18 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-van-hanh-va-bao-tri.35C59A1E.html
"Chuyên viên kinh doanh thị trường - Nghệ An, Hà Tĩnh(Mới)",Công ty CP Toshiko Việt Nam,Nghệ An,Lương: 15 Tr - 25 Tr VND,01-10-2025,12-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-thi-truong-nghe-an-ha-tinh.35C59A23.html
Chuyên viên chăm Sóc Khách Hàng và Quản Lý Rủi Ro _ Thương mại điện tử(Mới),CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,Hồ Chí Minh,Lương: 11 Tr - 13 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cham-soc-khach-hang-va-quan-ly-rui-ro-_-thuong-mai-dien-tu.35C59A24.html
Finance Manager / Finance and Accounting Manager(Mới),NIRVANA MEMORIAL PARK - CÔNG TY TNHH CÔNG VIÊN TƯỞNG NIỆM NIẾT BÀN,Hồ Chí Minh,Lương: 45 Tr - 55 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/finance-manager-finance-and-accounting-manager.35C57F24.html
Nhân Viên Xử Lý Khiếu Nại Sàn Shopee(Mới),Công Ty TNHH Việt Mỹ-SSU,Hồ Chí Minh,Lương: 7 Tr - 9 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-xu-ly-khieu-nai-san-shopee.35C59A1F.html
Kỹ Thuật Viên(Mới),CÔNG TY TNHH KỸ THUẬT TEXSOL,Hải Dương Hải Phòng Hồ Chí Minh,Lương: 8 Tr - 20 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/ky-thuat-vien.35C59A1D.html
Công nhân Premix(Mới),Deheus Hải Phòng,Hải Phòng,"Lương: 6,6 Tr - 7,2 Tr VND",01-10-2025,15-10-2025,https://careerviet.vn/vi/tim-viec-lam/cong-nhan-premix.35C59A1B.html
Nhân viên Digital Marketing(Mới),CÔNG TY TNHH KỸ THUẬT CÔNG NGHỆ MÔI TRƯỜNG LONG TRƯỜNG VŨ,Hồ Chí Minh,Lương: 9 Tr - 12 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-digital-marketing.35C59A18.html
Nhân viên bảo trì(Mới),CÔNG TY CỔ PHẦN BMP GROUP,Bình Dương,Lương: Cạnh Tranh,01-10-2025,08-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-bao-tri.35C59A17.html
Area Sales Manager - MT(Mới),CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ SẢN XUẤT HƯƠNG THỦY,Bình Dương,Lương: Cạnh Tranh,01-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/area-sales-manager-mt.35C599FD.html
NHÂN VIÊN KINH DOANH (NGÀNH TÔN-QUẬN 2)(Mới),Công Ty TNHH Pomaxx Việt Nam,Hồ Chí Minh,Lương: 12 Tr - 20 Tr VND,01-10-2025,20-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-nganh-ton-quan-2.35C599A7.html
Công nhân Premix(Mới),Công ty Proconco Hải Phòng,Hải Phòng,"Lương: 6,6 Tr - 7,2 Tr VND",01-10-2025,15-10-2025,https://careerviet.vn/vi/tim-viec-lam/cong-nhan-premix.35C59A0E.html
Internal Audit (Kiểm toán nội bộ)(Mới),CJ Foodville Việt Nam,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/internal-audit-kiem-toan-noi-bo.35C59A13.html
Nhân Viên Kỹ Thuật Điện(Mới),Tập Đoàn An Phát Holdings,Hải Dương,Lương: 12 Tr - 15 Tr VND,01-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ky-thuat-dien.35C59A11.html
Documentation Staff(Mới),CÔNG TY TNHH QUẢN LÝ CHUỖI CUNG ỨNG QUỐC TẾ GIA HOA VIỆT NAM,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/documentation-staff.35C599F9.html
"Giám Sát Dự Án Hoàn Thiện - Nội Thất (dự án Hạ Long, Hà Nội, Phú Quốc, Hồ Tràm...)(Mới)",TTT Corporation,Hà Nội Quảng Ninh Hồ Chí Minh,Lương: 15 Tr - 25 Tr VND,01-10-2025,10-11-2025,https://careerviet.vn/vi/tim-viec-lam/giam-sat-du-an-hoan-thien-noi-that-du-an-ha-long-ha-noi-phu-quoc-ho-tram.35C59A05.html
"HO - Giám đốc Phát triển sản phẩm vay thế chấp, Khối Bán lẻ(Mới)",Ngân Hàng TMCP Phương Đông - OCB,Hồ Chí Minh Hà Nội,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/ho-giam-doc-phat-trien-san-pham-vay-the-chap-khoi-ban-le.35C59A0C.html
TRƯỞNG PHÒNG NGHIÊN CỨU PHÁT TRIỂN (RD),Công ty Cổ phần Đầu tư Dừa Bến Tre,Bến Tre,Lương: Cạnh tranh,01-10-2025,08-10-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-nghien-cuu-phat-trien-rd.35C56471.html
TRƯỞNG PHÒNG NGHIÊN CỨU PHÁT TRIỂN (RD),Công ty Cổ phần Đầu tư Dừa Bến Tre,Bến Tre,Lương: Cạnh tranh,01-10-2025,08-10-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-nghien-cuu-phat-trien-rd.35C56471.html
Nhân Viên Kinh Doanh  (Điện Năng Lượng Mặt Trời) (Mới),CÔNG TY TNHH MANFUSI VIỆT NAM,Hồ Chí Minh Hà Nội,Lương: 35 Tr - 40 Tr VND,01-10-2025,08-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-dien-nang-luong-mat-troi.35C58AF6.html
"Bác Sĩ Khám Bệnh, Chữa Bệnh Chuyên Khoa Mắt (Mới)",TẬP ĐOÀN Y TẾ VIỆT - NGA,Hà Nội,Lương: Cạnh tranh,01-10-2025,29-10-2025,https://careerviet.vn/vi/tim-viec-lam/bac-si-kham-benh-chua-benh-chuyen-khoa-mat.35C59A06.html
Giám sát Kinh doanh (Mảng Cá Koi) (Mới),De Heus LLC,Đồng Bằng Sông Hồng,Lương: 10 Tr - 20 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/giam-sat-kinh-doanh-mang-ca-koi.35C59843.html
TRƯỞNG PHÒNG HÀNH CHÍNH NHÂN SỰ (Mới),Công Ty Cổ Phần Tân Vĩnh Cửu (Tavico group),Đồng Nai,Lương: Cạnh tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-hanh-chinh-nhan-su.35C599F7.html
QA Manager (Mới),CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI SKYLINE,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/qa-manager.35C59A03.html
Sales Executive (Electronic - Chinese Speaking) - P.03 (Mới),TÜV Rheinland Vietnam,Singapore,Lương: Cạnh tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/sales-executive-electronic-chinese-speaking-p-03.35C59A09.html
Project Engineer - 1 year contract (Hưng Yên) (Mới),CÔNG TY TNHH LA VIE,Hưng Yên,Lương: Cạnh tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/project-engineer-1-year-contract-hung-yen.35C59A04.html
Nhân Viên Bán Hàng Viettel Qua Kênh Điện Thoại Tân Bình Hồ Chí Minh (Mới),CÔNG TY CỔ PHẦN TRUYỀN THÔNG KIM CƯƠNG,Hồ Chí Minh,Lương: 8 Tr - 12 Tr VND,01-10-2025,02-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ban-hang-viettel-qua-kenh-dien-thoai-tan-binh-ho-chi-minh.35C5985A.html
Tổng Đài Viên Chăm Sóc Khách Hàng Viettel Quận Cẩm Lệ Đà Nẵng (Mới),CÔNG TY CỔ PHẦN TRUYỀN THÔNG KIM CƯƠNG,Đà Nẵng,Lương: 6 Tr - 9 Tr VND,01-10-2025,02-11-2025,https://careerviet.vn/vi/tim-viec-lam/tong-dai-vien-cham-soc-khach-hang-viettel-quan-cam-le-da-nang.35C5985E.html
Nhân viên bảo trì điện công nghiệp (Mới),Proconco Hải Phòng,Hải Phòng,"Lương: 9,3 Tr - 11 Tr VND",01-10-2025,15-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-bao-tri-dien-cong-nghiep.35C599FF.html
Chuyên Viên Dịch Vụ Khách Hàng (Mới),Công Ty TNHH Thương Mại Giải Pháp Ưu Việt,Hồ Chí Minh,Lương: 12 Tr - 15 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-dich-vu-khach-hang.35C59A01.html
Kế hoạch hàng hóa (Mới),HỘ KINH DOANH MONO TALK,Hà Nội,Lương: 10 Tr - 16 Tr VND,01-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/ke-hoach-hang-hoa.35C59A00.html
(HCM-Bình Tân) Trưởng Nhóm Kinh Doanh Ván Gỗ (Mới),Công Ty TNHH Tập Đoàn Rita Võ,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,03-11-2025,https://careerviet.vn/vi/tim-viec-lam/hcm-binh-tan-truong-nhom-kinh-doanh-van-go.35C599FE.html
Sales Engineer cho công ty cung cấp vòng bi hàng đầu thế giới (Mới),Công ty TNHH AOBA Việt Nam,Hà Nội,Lương: Cạnh tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/sales-engineer-cho-cong-ty-cung-cap-vong-bi-hang-dau-the-gioi.35C599F8.html
Senior Account Receivable Controller (Mới),Concung.com - Con Cung Joint Stock Company,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/senior-account-receivable-controller.35C599FB.html
Chuyên Viên Kinh Doanh/ Sale Executive [Tuyển Dụng Bổ Sung Do Mở Rộng Kinh Doanh] (Mới),CÔNG TY TNHH K O T I T I VIỆT NAM,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-sale-executive-tuyen-dung-bo-sung-do-mo-rong-kinh-doanh.35C5995A.html
